mfcc,melspectrogram
-18.23042,0.520875
-17.765022,1.39186
-17.14515,0.605027
-17.71256,1.2943909
-17.960993,0.32895127
-18.698322,1.532393
-17.427504,0.73829556
-17.27397,0.5125242
-17.846622,0.7634685
-17.836481,0.6595175
-18.409328,1.441066
-19.290123,1.0174416
-17.906536,1.098176
-17.824078,1.2417141
-17.653502,0.7984681
-16.430756,1.3679498
-17.157871,1.0512652
-18.166096,0.4522835
-17.972935,0.4970672
-17.480862,0.3397056
-16.93164,1.5143819
-18.903301,0.33131427
-16.805443,0.95923644
-17.755558,0.47066066
-17.545887,0.98813736
-17.191418,1.263419
-18.496239,0.54488343
-17.76848,1.0754335
-17.072489,1.0215275
-18.278496,0.37876523
-18.279154,0.47616565
-17.327234,1.0389664
-18.198887,0.18191364
-18.974588,0.6326692
-17.359673,0.3799749
-18.16552,1.2109096
-18.005358,0.7043599
-16.906973,2.6241558
-17.756699,1.3985803
-19.674864,1.0903399
-18.865738,0.6808071
-19.532347,0.7363815
-17.473526,1.0431339
-19.22984,0.8685275
-18.285168,0.80208385
-18.109503,1.8124282
-18.639658,0.38267213
-17.414406,1.2294483
-16.738056,1.746385
-18.289722,1.2961822
-18.862175,0.38514844
-18.197504,0.46196947
-17.114227,1.1144655
-19.060278,1.174109
-17.970594,0.44497207
-18.241114,1.0233715
-17.859661,0.6308408
-16.904037,0.9949312
-17.329273,1.1282862
-17.1564,1.4729801
-17.527126,1.7461874
-17.962994,0.6908426
-16.58363,0.89541173
-18.545675,1.6335181
-17.386442,0.8418521
-17.545368,1.4031965
-18.460321,0.39738807
-18.260826,2.159493
-17.731258,0.7012475
-18.035759,0.7592531
-18.83359,0.60826576
-19.560122,0.7844078
-18.67075,2.163106
-19.204912,0.82408035
-18.534609,0.5104175
-17.615917,1.073423
-17.145977,0.37241268
-19.007404,1.2084911
-17.97935,0.57289445
-17.76084,1.222409
-18.66934,0.88201725
-17.844559,1.4274197
-18.00664,0.31997913
-17.18641,0.84445643
-17.989002,0.38632977
-17.302954,0.8491468
-18.344057,0.8837782
-18.840242,0.91168606
-20.53739,0.35548562
-19.602425,0.90688235
-17.622746,1.1133726
-18.328503,0.13407917
-17.39073,0.7246166
-17.448446,0.5186958
-17.239178,0.37310362
-17.832088,0.4083335
-17.524942,0.75115114
-17.433508,0.783795
-17.119152,0.82179534
-17.66706,0.91090506
-18.45299,0.47165284
-17.221016,0.9019926
-17.957794,0.89275384
-17.496552,0.64871883
-17.93021,1.1634811
-17.959492,0.45202637
-18.211689,1.2368379
-18.59615,1.1126809
-17.661491,1.0820198
-17.626278,1.3453853
-17.297356,1.2572666
-17.015738,0.9414846
-17.598248,0.52221435
-17.530144,0.43562055
-17.063532,2.0465589
-17.164734,1.065198
-17.19456,0.60009044
-17.313631,1.4254745
-17.935196,0.6963172
-18.264975,0.30139062
-20.560673,0.7056341
-18.574787,1.7261553
-19.984653,1.1705319
-17.416073,1.4372946
-16.572762,1.3908195
-17.800652,0.45991108
-18.091465,0.22097614
-17.610518,0.99526495
-17.620266,0.5859408
-18.329348,0.965742
-17.271866,1.7732282
-18.590923,1.4371248
-16.939775,1.3726408
-17.896236,0.6969859
-18.523563,0.9432897
-17.154125,1.67153
-18.694744,0.8993188
-18.521305,0.4660097
-16.337557,1.0290226
-19.087292,0.80405647
-16.82526,2.0776806
-17.5946,1.7156892
-17.289343,0.885329
-17.396273,1.4836797
-18.071571,1.3163102
-17.212173,0.9116345
-17.453337,1.1217
-18.026688,0.44294822
-17.586052,1.0183568
-16.620005,0.83478546
-17.729898,0.50948226
-16.747236,0.75560915
-18.513126,1.2721099
-18.10598,2.0594683
-18.042133,1.3267214
-19.894882,1.1695966
-17.667274,0.75715065
-22.463087,0.20365466
-21.219738,0.28993827
-21.25266,0.52784926
-20.737692,0.528543
-20.822289,0.35269797
-21.619991,0.17552531
-22.117846,0.3323307
-21.30338,0.43160877
-21.094805,0.4696889
-20.977818,0.31058434
-21.049328,0.28994533
-23.549473,0.09547773
-22.016619,0.30189598
-22.187145,0.52225095
-21.252537,0.4203726
-20.969608,0.38552046
-22.481966,0.39053553
-20.87833,0.27615833
-21.056126,0.14897782
-21.455854,0.17561002
-17.06181,1.4016373
-23.22438,0.47051746
-22.793108,0.25158578
-21.737652,0.26964825
-21.19309,0.30718115
-23.212349,0.28175324
-20.72803,0.44561094
-22.759794,0.41054195
-20.578907,0.602342
-22.376333,0.27718973
-21.113062,0.50397944
-22.73766,0.35038537
-22.57761,0.51532316
-22.914118,0.38850343
-21.914507,0.5853015
-22.523664,0.6100216
-21.709269,0.44029704
-21.51716,0.39067578
-21.500877,0.43745658
-21.53625,0.32753575
-21.159733,0.24826336
-21.86127,0.25450805
-22.352257,0.27840978
-22.198788,0.27372134
-20.327877,0.47529072
-21.40424,0.32228062
-22.67299,0.3365667
-22.420584,0.31900245
-22.7968,0.32414037
-21.358646,0.43537804
-21.530912,0.4162222
-23.225168,0.2442898
-22.263206,0.24815726
-22.23556,0.45724285
-21.189386,0.28985977
-22.922537,0.17299402
-22.832767,0.35085714
-21.77881,0.28180152
-22.509142,0.29294863
-20.120533,0.30871487
-21.645369,0.36788043
-21.352905,0.22062495
-20.88039,0.48167214
-22.408573,0.25906718
-22.070217,0.3398373
-21.829823,0.40959057
-21.075096,0.24750073
-21.870537,0.57204276
-22.986557,0.16993392
-21.271786,0.21892199
-22.117802,0.27220118
-22.161697,0.30505157
-21.83093,0.28483114
-21.865347,0.28641674
-20.810768,0.46411026
-22.865356,0.24344486
-22.413858,0.27461672
-21.87436,0.2177699
-21.193195,0.18467668
-20.944532,0.33857203
-20.856304,0.3280068
-22.565311,0.523204
-21.611519,0.31152493
-21.657347,0.30045807
-21.464426,0.4256346
-21.964167,0.21597058
-21.373928,0.22219409
-20.847916,0.47555625
-21.584774,0.43354905
-22.908958,0.6914146
-22.573986,0.25461194
-21.85145,0.26179898
-22.37296,0.3758556
-20.801945,0.3858418
-22.041231,0.34709105
-21.812117,0.43021554
-21.84441,0.2896858
-22.53702,0.3949287
-19.995436,0.42560658
-21.035475,0.3058054
-22.797405,0.4649474
-21.208061,0.49494916
-20.58046,0.32643163
-23.773344,0.08240458
-21.265938,0.48590514
-21.41168,0.27501738
-23.073793,0.21665312
-22.173832,0.28992268
-21.842155,0.34276885
-22.260511,0.25456768
-21.974579,0.15802185
-22.568722,0.5393201
-22.885597,0.5004816
-22.038118,0.22308592
-21.023994,0.39484763
-21.51212,0.34636652
-21.993921,0.2545174
-21.753416,0.27466574
-21.03938,0.26684597
-22.229496,0.25312668
-21.554962,0.26225168
-21.041634,0.32002842
-22.604078,0.40555936
-21.694662,0.26524454
-21.409792,0.18386444
-22.427008,0.14090584
-23.561201,0.3760792
-22.485111,0.20751661
-20.443707,0.3891454
-20.056246,0.48163944
-20.727137,0.41660762
-22.275524,0.22756976
-21.4599,0.19888446
-22.39269,0.313094
-22.431591,0.32387018
-22.392666,0.32644367
-21.12316,0.3101555
-23.537569,0.23723093
-21.030231,0.25583607
-21.274012,0.21148303
-21.674572,0.36188352
-21.663614,0.31649786
-21.335741,0.25181088
-23.050936,0.11704424
-20.797804,0.7215779
-22.915535,0.3446749
-21.682913,0.14936265
-22.57067,0.5901178
-20.383917,0.43921325
-21.27232,0.3056146
-21.177952,0.2518866
-21.540382,0.1262829
-22.89848,0.20923647
-22.044668,0.109607294
-21.635084,0.32686743
-21.918976,0.53084093
-21.927006,0.4792207
-23.708721,0.11563602
-21.0818,0.2919046
-21.63764,0.37142038
-23.306345,0.27904433
-20.343233,0.3697281
-21.058628,0.4512163
-22.761442,0.2800634
-22.229559,0.24454011
-21.402615,0.19174582
-22.7434,0.16688824
-21.138294,0.459965
-22.460682,0.23922756
-21.926332,0.41440165
-20.72002,0.2402355
-21.009644,0.4759738
-21.554605,0.5371102
-21.190372,0.39479825
-22.859243,0.42090875
-21.652554,0.26129532
-22.053064,0.28415257
-21.95307,0.30726445
-21.53245,0.2612671
-22.274513,0.10651356
-21.061583,0.5102238
-22.123852,0.30935436
-21.586016,0.18160358
-21.605112,0.122112006
-22.439953,0.3256013
-21.320557,0.30595118
-22.382212,0.28278184
-21.633404,0.19524051
-21.796215,1.0606017
-22.138424,0.27505487
-21.598467,0.31629196
-21.54335,0.12508579
-23.88715,0.22147015
-21.135225,0.3210988
-21.677456,0.37564147
-21.69376,0.4259904
-21.219425,0.4660887
-22.754375,0.34266245
-22.098473,0.23698756
-20.770704,0.9017208
-21.69983,0.19167149
-23.584095,0.22195661
-21.435741,0.55233467
-22.548512,0.24259086
-23.159359,0.21573797
-22.483644,0.25822997
-21.282331,0.3494521
-22.875772,0.54253936
-22.185093,0.48559153
-22.783806,0.12939203
-21.48307,0.2637934
-20.54575,0.54379416
-20.57143,0.3590712
-21.98918,0.26837456
-20.867142,0.27007893
-23.199427,0.36532038
-21.031055,0.34788018
-24.057533,0.29863557
-22.205511,0.18968436
-21.475565,0.25469357
-21.110981,0.5328381
-21.915283,0.21723767
-22.145372,0.336043
-24.4595,0.12659864
-21.444847,0.12167247
-21.378567,0.23569576
-21.12798,0.27916434
-21.804361,0.76449555
-22.132229,0.23458882
-22.115948,0.47368145
-22.51484,0.56953853
-21.98562,0.18456292
-21.459934,0.27043688
-22.588867,0.35284665
-20.793379,0.36873126
-22.472538,0.24661642
-23.31588,0.2962616
-21.80119,0.22680023
-21.900105,0.42273974
-24.198875,0.3305928
-21.457111,0.2184966
-20.723373,0.69631255
-18.0359,0.6239005
-22.260958,0.47385463
-21.747509,0.638313
-22.600266,0.15703169
-21.254784,0.6476708
-21.805534,0.17866188
-21.93549,0.45975614
-17.99056,0.9724225
-21.323992,0.30927345
-22.127865,0.35992593
-21.998575,0.30187738
-21.531513,0.26554304
-22.699987,0.15673088
-21.553188,0.23379892
-21.14614,0.32199788
-22.162683,0.38965097
-21.968876,0.24712852
-22.132883,0.4269349
